New Box Number,Old Box Number,Starting Card Number,Ending Card Number,Accession Number,Entry,Location
"602","873","LDW410-9078","LDW410-9445","73A 1685","215",
"603","873","LDW410-9446","LDW410-9733","73A 1685","215",
"604","874","LDW410-9734","LDW410-9999","73A 1685","215",
"605","874","LDW410-10001","LDW410-10212","73A 1685","215",
"606","874","LDW410-10213","LDW410-10409","73A 1685","215",
"607","875","LDW410-10412","LDW410-10732","73A 1685","215",
"608","875","LDW410-10733","LDW410-10999","73A 1685","215",
"609","875","LDW410-11020","LDW410-11152","73A 1685","215",
"610","876","LDW410-11153","LDW410-11321","73A 1685","215",
"611","876","LDW410-11322","LDW410-11699","73A 1685","215",
"612","876","LDW410-11705","LDW410-11941","73A 1685","215",
"613","877","LDW410-11942","LDW410-12187","73A 1685","215",
"614","877","LDW410-12188","LDW410-12448","73A 1685","215",
"615","877","LDW410-12449","LDW410-12591","73A 1685","215",
"616","878","LDW410-12592","LDW410-12755","73A 1685","215",
"617","878","LDW410-12755","LDW410-12964","73A 1685","215",
"618","878","LDW410-12965","LDW410-13216","73A 1685","215",
"619","879","LDW410-13217","LDW410-13376","73A 1685","215",
"620","879","LDW410-13377","LDW410-13518","73A 1685","215",
"621","879","LDW410-13519","LDW410-13754","73A 1685","215",
"622","880","LDW410-13754","LDW410-13951","73A 1685","215",
"623","880","LDW410-13952","LDW410-14156","73A 1685","215",
"624","880","LDW410-14157","LDW410-14374","73A 1685","215",
"625","881","LDW410-14375","LDW410-14697","73A 1685","215",
"626","881","LDW410-14698","LDW410-22129","73A 1685","215",
"627","881","LDW410-22131","LDW410-32021","73A 1685","215",
"628","882","LDW410-32030","LDW410-32585","73A 1685","215",
"629","882","LDW410-32586","LDW410-42101","73A 1685","215",
"630","882","LDW410-42102","LDW410-43013","73A 1685","215",
"631","883","LDW410-43014","LDW410-62047","73A 1685","215",
"632","883","LDW410-62048","LDW410-62332","73A 1685","215",
"633","883","LDW410-62333","LDW410-62679","73A 1685","215",
"634","884","LDW410-62681","LDW410-62901","73A 1685","215",
"635","884","LDW410-62902","LDW410-64187","73A 1685","215",
"636","884","LDW410-64188","LDW410-66339","73A 1685","215",
"637","885","LDW410-66341","LDW410-66679","73A 1685","215",
"638","885","LDW410-66681","LDW410-66974","73A 1685","215",
"639","885","LDW410-66975","LDW410-67548","73A 1685","215",
"640","886","LDW410-67549","LDW410-67853","73A 1685","215",
"641","886","LDW410-67854","LDW410-81621","73A 1685","215",
"642","886","LDW410-81622","LDW410-82381","73A 1685","215",
"643","887","LDW410-82382","LDW410M13679","73A 1685","215",
"644","887","LDW410M14393","LDW420-1501","73A 1685","215",
"645","887","LDW420-1520","LDW420-11554","73A 1685","215",
"646","888","LDW420-11555","LDW420-13399","73A 1685","215",
"647","888","LDW420-13400","LDW420-13836","73A 1685","215",
"648","888","LDW420-13837","LDW420-31095","73A 1685","215",
"649","889","LDW420-31096","LDW420-63021","73A 1685","215",
"650","889","LDW420-63022","LDW420-83224","73A 1685","215",
"651","889","LDW420-83225","LDW420M13227","73A 1685","215",
"652","890","LDW420M13228","LDW420M42164","73A 1685","215",
"653","890","LDW420M42172","LDW420P13106","73A 1685","215",
"654","890","LDW420P13152","LDW430-2379","73A 1685","215",
"655","891","LDW430-2381","LDW430-6252","73A 1685","215",
"656","891","LDW430-6153","LDW430-51423","73A 1685","215",
"657","891","LDW430-51430","LDW430-54206","73A 1685","215",
"658","892","LDW430-54207","LDW430-62390","73A 1685","215",
"659","892","LDW430-62391","LDW430-64475","73A 1685","215",
"660","892","LDW430-64489","LDW430-64928","73A 1685","215",
"661","893","LDW430-64929","LDW430M2216","73A 1685","215",
"662","893","LDW430M2221","LDW430M64418","73A 1685","215",
"663","893","LDW430M64431","LDW450-1323","73A 1685","215",
"664","894","LDW450-1324","LDW450-1995","73A 1685","215",
"665","894","LDW450-1996","LDW450-2933","73A 1685","215",
"666","894","LDW450-2937","LDW450-5621","73A 1685","215",
"667","895","LDW450-5622","LDW450-9634","73A 1685","215",
"668","895","LDW450-9635","LDW451-11131","73A 1685","215",
"669","895","LDW451-11132","LDW940-30140","73A 1685","215",
"670","896","LDD410-1171","LED410-40622","73A 1685","215",
"671","896","LED410-40623","LID340-25117","73A 1685","215",
"672","896","LID340-25125","LIS330-11006","73A 1685","215",
"673","897","LIS330-11007","LIS510-10001","73A 1685","215",
"674","897","LIS510-20900","LSC270-713","73A 1685","215",
"676","898","LSC330-409","LSC350-80806","73A 1685","215",
"677","898","LSC350-80900","LSC400-77104","73A 1685","215",
"678","898","LSC400A0101","LSC400F0515","73A 1685","215",
"679","899","LSC400F0601","LSC400R0803","73A 1685","215",
"680","899","LSC400R0901","LSC410-22056","73A 1685","215",
"681","899","LSC410-22057","LSC430-64320","73A 1685","215",
"682","900","LSC430-64330","LSC550-1611","73A 1685","215",
"683","900","LSC550-1612","LSK410-3130","73A 1685","215",
"684","900","LSK410-3140","LTM280-28853","73A 1685","215",
"685","901","LTM280-30104","LTT430-20610","73A 1685","215",
"686","901","LTT410-20761","LEO280","73A 1685","215",
"687","901","LEO280","LEO390","73A 1685","215",
"688","901","LEO390","LEO938","73A 1685","215",
"689","135","JA6L-101001","CA6L-107036","71A1520","215",
"690","135","BA6L-10900","EA6L-276037","71A1520","215",
"298","100","1B79042","1B79295","255-80-0003","216","5-30-1-06-6"
"301","101","1B79961","1B80358","255-80-0003","216","5-30-1-06-6"
"302","101","1B80358","1B80669","255-80-0003","216","5-30-1-06-6"
"303","101","1B80669","1B81046","255-80-0003","216","5-30-1-06-6"
"304","102","1B81046","1B81953","255-80-0003","216","5-30-1-06-6"
"306","102","1B82464","83193","255-80-0003","216","5-30-1-06-6"
"307","103","1B83547","1B83577","255-80-0003","216","5-30-1-06-6 "
