-11	FIND	DRAWING	TITLE
X	REF	1015108	SCHEMATIC DIAGRAM ELEC
			
6	15	1008554	GASKET, CONNECTOR MIN
2	14	1015135-015	SPACER NYLON
AR	13	1006776-21	INSULATION SLEEVING
AR	12	1006787-2	WIRE, FEED THRU
4	11	1010362-3	DIODE 1N649
6	10	1010353-4	RELAY
AR	9	1006757-1	WIRE, NICKEL RIBBON
1	8	1015144	WAFER BOARD, LOWER
1	7	1015145	WAFER BOARD, UPPER
AR	6	1006776-20	INSULATION SLEEVING
54	5	1006775	INSULATOR, WRAPOST - MALE
24	4	1006782-4	CONTACT, BLADE EDGE CONN
30	3	1006782-5	CONTACT, BLADE EDGE CONN
8	2	AN500D-2-4	SCREW #2-56 X 1/4 FIL HD
1	1	1015143	FRAME RELAY MODULE
			
			PROOFED
