0	DRAWING	TITLE	FIND	STRIKE
X	1010011	SCHEMATIC	REF	
AR	1006776-21	INSULATION, SLEEVING	24	
1	1006784-6	TERMINAL, FEEDTHRU, INSULATED	23	
AR	1006776-20	INSULATION, SLEEVING	22	
AR	1006757-1	WIRE, ELEC .010 X .020	21	
AR	-8	WIRE, ELEC .020 DIA	20	
AR	1006776-22	INSULATION, SLEEVING	19	
11	1006782-4	CONTACT, WRAPOST, MALE MIN	18	
11	1006775	INSULATOR, WRAPOST, MALE, MIN	17	
1	SEE DRAWING NOTE 16	CAPACITOR	16	
1	1010834-12	RESISTOR, FXD	15	
1	SEE DRAWING NOTE 16	CAPACITOR	14	
1	SEE DRAWING NOTE 19	RESISTOR, FXD	13	
2	1010389-93	RESISTOR, FXD	12	
1	SEE DRAWING NOTE 18	RESISTOR, FXD	11	
2	1010262-1	RESISTOR, FXD	10	
1	SEE DRAWING NOTE 21	RESISTOR, VAR	9	
2	SEE DRAWING NOTE 17	RESISTOR, FXD	8	
1	1010373-8	RESISTOR, VAR	7	
2	1010289-036	CAPACITOR, POLY	6	
1	1010283-17	RESISTOR, FXD	5	
4	1000093-3	SCREW, BUTTON HD	4	
1	1008023-1	INSULATOR	3	
1	-2	INSULATOR	2	X
1	1007020	HEATSINK	1	
				
		PROOFED		
