FIND	0	DRAWING	TITLE	STRIKE
1	5 FT	1010789-006	WIRE, 22 AWG, YEL	
2	10 FT	1010789-016	WIRE, 26 AWG, YEL	
3	30 FT	1010789-008	WIRE, 22 AWG, YEL, RED	
4	25 FT	1010789-017	WIRE, 26 AWG, YEL, RED	
5	5 FT	1010789-009	WIRE, 22 AWG, YEL, RED, GRN	
6	5 FT	1010789-019	WIRE, 26 AWG, YEL, RED, GRN	
7	26 FT	1010707-1	WIRE, RED JKT, 29 AWG, RED, WHT, BLUE	
8	40 FT	1010789-015	WIRE, 26 AWG, YEL, RED, YEL JKT	
9	35 FT	1010789-002	WIRE, 24 AWG, BLK	
10	1	1010929-001	CONNECTOR, PLUG, ELECTRICAL (P12)	
11	1	1008987-001	CONNECTOR, PLUG, ELECTRICAL (P16)	
12	1	1008987-002	CONNECTOR, PLUG, ELECTRICAL (P15)	
REF	X	1010770-2	CONTACT, SOCKET SUPPLIED WITH CONNECTOR 1010929	
REF	X	1010781-1	CONTACT, SOCKET SUPPLIED WITH CONNECTOR 1008987	
15	66	1010955-1	CONTACT, MALE	
16	85	1010955-2	CONTACT, MALE	
17	1	2014743-031	CONNECTOR, PLUG, ELECTRICAL (P19)	
18	4	1010958-1	PLUG, PROTECTIVE SEALING	
19	31	1010984	PLUG, PROTECTIVE SEALING	
20	33	1010402-2	SLEEVE SOLDER	
21	15	1012534-36	INSULATION SLEEVE (HEAT SHRINKABLE)	
22	AR	1012503	COMPOUND, POTTING, POLYURETHANE	
23	AR	1010679	ADHESIVE ACTIVATOR	
24	AR	1010661	EPOXY RESIN	
25	AR	MIL-T-23594	TAPE, TEFLON, TYPE II, 1/4  INCH WIDE	X
26	AR	1008960-002	TAPE, TEFLON, 1 INCH WIDE	
29	AR	1012504	PRIMER, METAL PARTS	
30	31	1010862	BUSHING, SLEEVE	
33	6	1012534-37	SLEEVE, INSULATION (HEAT SHRINKABLE)	
34	2	2014670-6	ADAPTER, CONNECTOR	
35	1	2014670-4	ADAPTER, CONNECTOR	
36	12	1010763-2	SLEEVE, SOLDER	
37	151	1010490-114	INSULATION SLEEVE (HEAT SHRINKABLE)	
39	AR	1008936-001	TAPE, LACING	
40	AR	1008937-001	TAPE, ALUMINUM FOIL	
41	AR	1008937-002	TAPE, ALUMINUM FOIL	
42	AR	1008937-003	TAPE, ALUMINUM FOIL	
43	3	1008940-001	BAND, MARKER	
44	AR	1010748	RESIN, EPOXY	
45	AR	1010750	CURING AGENT, POLYAMIDE	
				
			PROOFED	
