-011	FIND	DRAWING	TITLE	STRIKE
1	33	1008553	GASKET	
1	32	1008552	GASKET	
1	31	1021204-007	CONTACT	
X	REF	1010230	WIRING DIAGRAM	
AR	29	MIL-I-15126 TYPE MFT 2.5 0.38 WIDE	MYLAR TAPE, TYPE MFT 2.5 0.38 WIDE	
1	28	1021205-001	RECEPTACLE, DS TYPE	
1	27	1021208	WIRING HARNESS F	
1	26	1015748	WIRE LIST AA	
1	25	1015747	WIRING HARNESS E	
1	24	1015746	WIRING HARNESS D	
1	23	1015745	WIRING HARNESS C	
1	22	1015744	WIRING HARNESS B	
1	21	1015743	WIRING HARNESS A	
3	20	MS16995-10	SCREW CAP SOCKET HEAD	
1	19	1001317	RETAINER, JACK SCREW	
1	18	1008098	SCREW, SOCKET HEAD	
1	17	1008099-2	WASHER	
2	16	MS21045CO4	NUT SELF-LOCKINGHEX	
2	15	1010620-2	PIN, GUIDE	
24	14	1008095	SCREW, JACK	X
24	13	1004207	DRIVE CYLINDER	X
24	12	MS171433	PIN, SPRING	X
48	11	1004206	WASHER, THRUST	X
2	10	MS16995-11	SCREW CAP SOCKET HEAD	
1	9	1010622-1	CONNECTOR, RECEPTACLE	
22	8	MS16556-604	PIN, GUIDE	
45	7	1006775	INSULATOR, WRAPOST MALE MIN	
45	6	1006782-2	CONTACT, WRAPOST, MALE MIN	
60	5	1010383-1	INSULATOR, WRAPOST, MALE	
60	4	1010382-1	CONTACT, BLADE EDGE CONN	
226	3	1006781-2	CONTACT, WRAPOST, FEMALE MIN	
226	2	1006774	INSULATOR, WRAPOST, FEMALE MIN	
1	1	1008408	FRAME	
				
			PROOFED	
