-21	-11	DRAWING	TITLE	FIND	STRIKE
1	1	2018848	WIRE GUIDE, BRG. HSG., M.A., RSVR	16	
AR	AR	MIL-I-15126 TYPE MFT 1/4 WIDTH	TAPE – MYLAR INSULATION	15	
AR	AR	MIL-T-713 TYPE P CLASS 2	TAPE, NYLON, WAXED	14	
2	2	1010867-2	SCREW, SELF-LKG, FLAT HD. SOC-SPLINE	13	
'3.0”	'3.0”	1010416-4	WIRE AWG 38E ORN	12	
2	2	1000020-8	SHIELD & GROUND ASSY	11	
2	2	1000020-6	SHIELD & GROUND ASSY	10	
4	4	1006776-14 5/16 LONG	INSULATION SLEEVING ELEC	9	
86	86	1006776-18 5/16 LONG	INSULATION SLEEVING ELEC	8	
4	4	MS15795-703	WASHER, FLAT, METAL, ROUND	7	
4	4	1010891-12	SCREW, BUTTON HD., SELF-LKG, SOC-SPLINE	6	
1	1	2018784	WIRE GUIDE, BRG HSG, M.A. RSVR	5	X
2	2	1010917-106	CONNECTOR, ELEC, RECEP, 26 PINS	4	
2	2	1010917-806	CONNECTOR, ELEC. PLUG, 26 PINS	3	
1	1	2018624	SLIP RING ASSY 40 CONTACT	2	
1	1	2018607-011	RESOLVER ASSY MIDDLE AXIS	1	
					
			PROOFED		
