-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
X	X	X	1010104	SCHEMATIC	REF	
AR			SEE DRAWING NOTE 23	MOISTUREPROOFING	28	
1	1		1008860-1	CAPACITOR	27	
2	2	2	2008013-6	TERMINAL LUG, SOLDER, FLAT	26	
AR	AR	AR	100848-2	WIRE, ELECTRICAL – NICKEL	25	
1	1	1	1008540-15	GASKET, CONNECTOR MINIATURE	24	
1	1	1	1008547	GASKET, CONNECTOR MINIATURE	23	
AR	AR	AR	1006776-21	INSULATION SLEEVING ELECT	22	
AR	AR	AR	-20	INSULATION SLEEVING ELECT	21	
AR	AR	AR	1006757-9	WIRE, ELECTRICAL	20	
AR	AR	AR	-1	WIRE, ELECTRICAL	19	
1	1	1	1008143	BUS BAR, DOUBLE LUG	18	
2	2	2	1008142	BUS BAR, SINGLE LUG	17	
AR	AR	AR	1006776-18	INSULATION SLEEVING ELECT	16	
AR	AR	AR	QQ-W-343 TYPE S SOFT TIN COATED	WIRE, ELECT – COPPER #18 GA	15	
2	2	2	MS20341-416B	NUT	14	
2	2	2	1008071-5	WASHER, FLAT	13	
2	2	2	1008024-4	WASHER, INSULATOR	12	
2	2	2	-3	WASHER, INSULATOR	11	
2	2	2	1008021-2	BUSHING, INSULATOR	10	
AR	AR	AR	MIL-I-15126 TYPE MFT 2.5 ½ WIDE	INSUL TAPE	9	
		AR	1006757-8	WIRE, ELECTRICAL	8	X
		AR	1006776-22	INSULATION SLEEVING ELECT	7	X
26	26	26	1006782-5	CONTACT, WRAPOST – MALE, MINIATURE	6	
26	26	26	1006775	INSULATOR, WRAPOST – MALE, MINIATURE	5	
1	1	1	1010391-1	DIODE	4	
2	2	2	1010636-1	DIODE	3	
		1	1010637-1	CAPACITOR	2	
1	1	1	1007094	HEATSINK	1	
						
				PROOFED		
