-011	DRAWING	TITLE	FIND
X	6010005	SCHEMATIC	REF
			
2	MS20341-10B	NUT	21
2	2008013-3	TERMINAL LUG SOLDER FLAT	20
2	1008071-2	WASHER, FLAT	19
4	1008024-1	WASHER, INSULATOR	18
2	2008020-1	BUSHING, INSULATOR	17
AR	QQ-W-343 TYPE S	WIRE, ELEC COPPER, AWG 18, SOFT TIN COATED	16
AR	1010848-2	WIRE, ELEC	15
AR	1006757-9	WIRE, ELEC	14
AR	-1	WIRE, ELEC	13
3	1008540-12	GASKET, CONNECTOR MINIATURE	12
1	-11	GASKET, CONNECTOR MINIATURE	11
AR	1006776-18	INSULATION SLEEVING	10
AR	-20	INSULATION SLEEVING	9
2	6008016	BUS BAR, SINGLE LUG	8
47	1006775	INSULATOR, WRAPOST – MALE, MINIATURE	7
47	1006782-4	CONTACT, WRAPOST – MALE, MINIATURE	6
1	2008093-001	TERMINAL, THREADED	5
2	1010777-2	DIODE	4
1	1008860-1	CAPACITOR	3
2	1006755-134	CAPACITOR	2
1	6008033	HEATSINK	1
			
		PROOFED	
