-021	-011	FIND	DRAWING	TITLE
X		REF	1023022	SCHEMATIC, TIME DELAY
1		40	1006750-42	RESISTOR, FIXED FILM
1		39	1006755-34	CAPACITOR
AR	AR	38	1010679	ADHESIVE ACTIVATOR
AR	AR	37	1010661	EPOXY RESIN
AR	AR	36	1010798-1	POLYURETHANE FOAM, BLACK
AR	AR	35	-2	POLYURETHANE FOAM, BLACK
AR	AR	34	1010306	CATALYST
AR	AR	33	1010305	EPOXY RESIN
	X	REF	1009510	SCHEMATIC DIAGRAM, ELEC
2	2	31	1008069-1	SCREW, SOCKET HD
2	2	30	MS35338-78	WASHER, LOCK
2	2	29	MS15795-303	WASHER, FLAT
AR	AR	28	1006776-21	INSULATION, SLEEVING, ELEC
AR	AR	27	1006787-2	WIRE, ELECTRICAL
AR	AR	26	1006757-1	WIRE, ELECTRICAL
1	1	25	1010397-1	TRANSISTOR
1	1	24	1010357-1	TRANSISTOR
1	1	23	1010342	TRANSISTOR (DUAL SECTION)
2	2	22	1010362-002	DIODE
1	1	21	1010385	DIODE
1	1	20	1010830-5	DIODE
1	1	19	-9	DIODE
1	1	18	-11	DIODE
	1	17	1010393-043	CAPACITOR
1	1	16	1006755-77	CAPACITOR
2	2	15	1006750-56	RESISTOR, FIXED FILM
1	1	14	-36	RESISTOR, FIXED FILM
1	1	13	-49	RESISTOR, FIXED FILM
1	1	12	-8	RESISTOR, FIXED FILM
	1	11	-49	RESISTOR, FIXED FILM
1	1	10	-84	RESISTOR, FIXED FILM
1	1	9	1010364 SEE DRAWING NOTE 6	RESISTOR
1	1	8	1006750-34	RESISTOR, FIXED FILM
1	1	7	1010364-734	RESISTOR
1	1	6	1010318-2	CONNECTOR
1	1	5	1015025	INSULATOR, PLATE
2	2	4	1015073	SPACER, INSULATED
1	1	3	1015072	WIRING BOARD, BOTTOM
1	1	2	1015071	WIRING BOARD, TOP
1	1	1	1015027	HOUSING (INSEP ASSY)
				
				PROOFED
