-11	DRAWING	TITLE	FIND
3.0	1006737-A2	WIRE, ELEC, SOLID AWG 30	12
1	1004590	INSULATOR, FRONT PROGRAM DISPLAY	11
1	1004129	INSULATOR, REGISTER 3 DISPLAY	10
1	1004128	INSULATOR, REGISTER 2 DISPLAY	9
1	1004126	INSULATOR, REGISTER 1 DISPLAY	8
1	1004148	INSULATOR, VERB-NOUN DISPLAY	7
1	1004147	INSULATOR, PROGRAM DISPLAY	6
1	1006818	INDICATOR, DIGITAL DISPLAY	5
1	1006817	INDICATOR, DIGITAL DISPLAY	4
3	1006813	INDICATOR, DIGITAL DISPLAY	3
1	1004580	GASKET, E/L FRAME	2
1	1004568	FRAME, ELECTROLUMINESCENT	1
			
		PROOFED	
