FIND	0	DRAWING	TITLE
31	4	2899968	PAD MOUNTING
30	AR	1010750	CURING AGENT
29	AR	1010749	FILLER
28	AR	1010748	EPOXY RESIN
27	1	2899966	INSERT, ANGULAR
26	AR	1010864	PREPOLYMER, POLYURETHANE
25	AR	1010863	RESEN, POLYURETHANE
24	AR	1010877	ADHESIVE
23	64	1010868-3	RIVET, BLIND
22	310	-2	RIVET, BLIND
21	2	MS21209-F4-15	INSERT, LOCKING
20	16	AN960C8	WASHER, FLAT
19	16	NAS1352CO8LL10	SCREW SOCKET HEAD, SELF LOCKING
			
18	2	2899981-008	STRIP, REINFORCING
17	1	-007	STRIP, REINFORCING
16	1	-006	STRIP, REINFORCING
15	2	-005	STRIP, REINFORCING
14	2	-004	STRIP, REINFORCING
13	1	-003	STRIP, REINFORCING
12	1	2899973	ARM, L.H.
11	1	2899972	ARM, R.H.
10	2	2899962	BRACKET, REINFORCING, REAR
9	2	2899961	BRACKET, REINFORCING, FORWARD
8	2	2899960	BRACKET, SUPPORT, FORWARD
7	2	2899959	BRACKET, SUPPORT, REAR
6	1	2899964	BRACKET, OPTICS, REAR
5	1	2899963	INSERT, MTG, REAR
4	1	2899956	BEAM, TRIANGULAR (INSEP ASSY)
3	1	2899981-002	BLANK, FORMED, PARTIAL
2	1	-001	BLANK, FORMED, PARTIAL
1	1	2899955	BLANK, FORMED
			
			PROOFED
