-11	DRAWING	TITLE	FIND	STRIKE
X	1010016	SCHEMATIC DIAGRAM ELECTRICAL	REF	
				
2	1010966-1	TRANSISTOR	55	
2	1008540-10	GASKET, CONNECTOR MINIATURE	54	
1	1010372-6	DIODE	53	
1	1006750-40	RESISTOR	52	
AR	1006776-22	INSULATION SLEEVING	51	
AR	1006776-20	INSULATION SLEEVING	50	
2	1006750-53	RESISTOR, FIXED MF 7.5K, 1/4W ±2%	49	
4	1008025-1	INSULATOR, BUSHING	48	
20	1006782-4	CONTACT, WRAPOST MALE MINAT	47	
20	1006775	INSULATOR, WRAPOST MALE MINAT	46	
2	1000093-3	SCREW, BUTTON HEAD	45	
1	MS35650-104	NUT, PLAIN, HEX	44	
1	1008020-1	WASHER, FLAT	43	
2	1008024-1	WASHER, INSULATOR	42	
AR	1006787-2	WIRE, ELEC .020 DIA	41	
AR	1006757-1	WIRE, ELEC .010 X .020	40	
2	1008025-2	INSULATOR, BUSHING	39	
1	1008021-1	INSULATOR, BUSHING	38	
AR	1006776-21	INSULATION SLEEVING	37	
			36	
2	1010600	TRANSISTOR	35	
2	1006752	TRANSISTOR	34	X
4	1010376-4	TRANSISTOR	33	
1	1010269-1	TRANSISTOR SP322	32	
2	1010357-1	TRANSISTOR	31	
4	1010388-39	INDUCTOR .01HY 75MA ±5%	30	
2	1010384	DIODE	29	
3	1010394	DIODE	28	
6	1010385	DIODE	27	
			26	
4	1010833-1	DIODE	25	
1	1010393-39	CAP., FIXED TANT, 6.8UF 50V ±10%	24	
2	1006777-33	CAP., FIXED CER, .022UF 100V ±10%	23	
4	1006777-20	CAP., FIXED CER, 470UUF 100V ±10%	22	
2	1006755-73	CAP., FIXED TANT, 2.2UF 35V ±20%	21	
4	1006777-13	CAP., FIXED CER, 100UUF 100V ±10%	20	
1	1010373-10	RESISTOR, VAR, 10K 1W ±5%	19	
2	1010369-87	RESISTOR	18	
2	1010369-148	RESISTOR, FIXED COMP, 20 1/4W ±20%	17	
			16	
2	1006750-53	RESISTOR, FIXED MF, 7.5K 1/4W ±2%	15	
1	1010364-683	RESISTOR, FIXED MF, 178K 1/8W ±1%	14	
1	1010364-635	RESISTOR, FIXED MF, 100K 1/8W ±1%	13	
1	1006750-62	RESISTOR, FIXED MF, 18K 1/4W ±2%	12	
6	1006750-67	RESISTOR, FIXED MF, 30K 1/4W ±2%	11	
2	1006750-56	RESISTOR, FIXED MF, 10K 1/4W ±2%	10	
3	1006750-15	RESISTOR, FIXED MF, 200K 1/4W ±2%	9	
1	1010364-557	RESISTOR, FIXED MF, 392K 1/8W ±1%	8	
6	1006750-81	RESISTOR, FIXED MF, 110K 1/4W ±2%	7	
2	1006760-56	RESISTOR, FIXED MF, 10K 1/2W ±2%	6	
2	1006750-18	RESISTOR, FIXED MF, 270 1/4W ±2%	5	
4	1010389-80	RESISTOR, FIXED MF, 10K 3W ±1%	4	
1	1008019-2	INSULATOR, TOP	3	
1	1008019-1	INSULATOR, BOTTOM	2	
1	1007008	HEATSINK	1	
				
		PROOFED		
