-31	-21	-11	DRAWING	TITLE	FIND
AR			1006879	SILICONE COMPOUND	20
AR			SEE DRAWING NOTE 6	MOISTURE-PROOFING	19
2			1007517-021	AC DIFFERENTIAL AMPLIFIER	18
3			1007507-031	DC DIFFERENTIAL AMP. & PVR	17
2			1007519-021	INTERROGATOR	16
36			1008861-018	SCREW, CAP, SOCKET HEAD	15
2			1007527-021	BINARY CURRENT SWITCH	14
1			1007533-031	FRAME ASSEMBLY	13
			1007507-021	DC DIFFERENTIAL AMPLIFIER	12
AR	AR	AR	1006879	SILICONE COMPOUND	11
36	36	36	MS15795-805	WASHER, FLAT	10
	36	36	NAS1352-06-8	SCREW, CAP, SOCKET HEAD	9
	1		1007533-021	FRAME ASSEMBLY	8
	3		1007507-011	DC DIFFERENTIAL AMPL. & POWER	7
	2	2	1007517-011	AC DIFFERENTIAL AMPLIFIER	6
		2	1007519-011	INTERROGATOR	5
	2		1007419-011	INTERROGATOR	4
		2	1007527-011	BINARY CURRENT SWITCH	3
	2		1007427-011	BINARY CURRENT SWITCH	2
		1	1007533-011	FRAME ASSEMBLY	1
					
				PROOFED	
