FIND	STRIKE	0	DRAWING	TITLE
1		5'	1010789-006	WIRE, 22 AWG, YEL
2		65'	1010789-016	WIRE, 26 AWG, YEL
3		5'	1010789-011	WIRE, 24 AWG, YEL, YEL JKT
4		5'	1010789-008	WIRE, 22 AWG, YEL, RED
5		50'	1010789-017	WIRE, 26 AWG, YEL, RED
6		60'	1010789-015	WIRE, 26 AWG, YEL, RED, YEL JKT
7		5'	1010789-018	WIRE, 26AWG, YEL, RED, GRN
8		5'	1010789-013	WIRE, 24 AWG, YEL, RED, GRN, YEL JKT
9		78'	1010789-002	WIRE, 24 AWG, BLK
10		50'	1010789-024	WIRE, 26 AWG, BLK
11		1	1010930-009	CONNECTOR, RECEPTACLE, ELECTRICAL (56J1)
12		1	1010930-105	CONNECTOR, RECEPTACLE, ELECTRICAL (56J2)
13		1	1010930-002	CONNECTOR, RECEPTACLE, ELECTRICAL (56J3)
14		1	1010930-001	CONNECTOR, RECEPTACLE, ELECTRICAL (56J4)
REF		X	1010770-1	CONTACT, PIN, SUPPLIED WITH CONNECTOR 1010930
REF		X	1010770-2	CONTACT, SOCKET, SUPPLIED WITH CONNECTOR 1010930
17		172	1010955-001	CONTACT, MALE
18		132	1010955-002	CONTACT, MALE
19		52	1010958-001	PLUG, PROTECTIVE SEALING
20		78	1010402-2	SLEEVE, SOLDER
21		1	2014670-4	ADAPTER, CONNECTOR
22		1	2014670-12	ADAPTER, CONNECTOR
23		1	2014670-7	ADAPTER, CONNECTOR
24		AR	1012507-004	TAPE, LACINT
25		AR	MIL-T-23594	TAPE, TEFLON, TYPE II, 1" WIDE
26		AR	MIL-T-23594	TAPE, TEFLON, TYPE II, 1/4" WIDE
28		AR	1012503	COMPOUND, POTTING, POLYURETHANE
29		AR	1010679	ADHESIVE ACTIVATOR
30		AR	1010661	EPOXY RESIN
31		AR	1006277	SILICA, PULVERIZED, PYROGENIC
32		AR	1008822	COLORANT, EPOXY BASE
33		AR	1012504	PRIMER, METAL PARTS
34		16'	1010989	TAPE, SHIELDING, EMI/RFI
35		AR	1006776-19	INSULATION SLEEVING
36		30'	QQ-W-343 TYPE C CLASS C	WIRE, UNCOATED, SILVER PLATED, 22 AWG
37		1	2014744-011	CONNECTOR, RECEPTACLE, ELECTRICAL (56P17)
38	X	0	MS17182-2	DELETED
39		2	MS17182-1	TERMINAL LUG
40		2	MS35333-69	WASHER, LOCK
41		2	1006783-93	SCREW, BUTTON HD
42		2'	QQ-B-575	WIRE, 1/8 DIA., 36 AWG
43		1	2014670-11	ADAPTER, CONNECTOR
44		2	2010725-011	NUT PLATE ASSEMBLY
45		1	2010725-021	NUT PLATE ASSEMBLY
46		1	2010725-031	NUT PLATE ASSEMBLY
47		AR	1010682	EPOXY RESIN
48		AR	1010683	CURING AGENT, AMINE
49		4	1010402-1	SLEEVE, SOLDER
				
				PROOFED
