-11	DRAWING	TITLE	FIND	STRIKE
X	2010027	SCHEMATIC	REF	
				
				
				
2	1010392-1	DIODE	19	
3	1010837-3	DIODE	18	
3	1010353-7	RELAY	17	
1	1010605	TRANSFORMER	16	
1	1008540-13	GASKET	15	
1	1008540-11	GASKET	14	
1	2008093-000	TERMINAL, THREADED	13	
AR	1006776-22	INSULATION SLEEVING	12	
AR	1006776-21	INSULATION SLEEVING	11	
AR	1006776-20	INSULATION SLEEVING	10	
AR	1006757-8	WIRE, ELECTRICAL	9	
AR	1006757-1	WIRE, ELECTRICAL	8	
6	1008161-2	SCREW, CAP SLOTTED HD, SPECIAL	7	
3	1015135-015	SPACER	6	
24	1006782-4	CONTACT, WRAPOST MALE MINIATURE	5	
24	1006775	INSULATOR, WRAPOST MALE MINIATURE	4	
1	2008190	WIRING BOARD, BOTTOM	3	
1	2008188	WIRING BOARD, TOP	2	
1	2008193	FRAME	1	
				
X	X	PROOFED	REF	X
