-11	FIND	DRAWING	TITLE
AR	105	1008937-007	TAPE, PRESS SENSITIVE, ADHESIVE – ALUM. FOIL BACKED
4	104	NAS1635-04-4	SCREW, PAN HD, CROSS RECESS
1	103	2021339-010	SPACER (TEFLON)
1	102	2021339-007	SPACER (TEFLON)
2	101	2021339-006	SPACER (TEFLON)
1	100	2021339-005	SPACER (TEFLON)
1	99	2021339-003	SPACER (TEFLON)
1	98	2021339-001	SPACER (TEFLON)
1	97	2021338-010	SPACER (ACLAR)
1	96	2021338-007	SPACER (ACLAR)
2	95	2021338-006	SPACER (ACLAR)
1	94	2021338-005	SPACER (ACLAR)
1	93	2021338-003	SPACER (ACLAR)
1	92	2021338-001	SPACER (ACLAR)
1	91	2021330	COVER, PROTECTIVE
1	90	2021329	COVER, PROTECTIVE
1	89	MS51923-187	PIN, ROLL
1	88	NAS1081CO4D4L	SCREW, SET SELF LOCKING
2	87	MS15795-805	WASHER, FLAT
1	86	MS24693-C8	SCREW, FL HD, CROSS RECESS
2	85	1001489-19	SCREW, SOC HD CAP
1	84	2021347	SPACER, BRACKET
1	83	2021345	BRACKET, SWITCH MTG
AR	82	1010661	EPOXY RESIN
AR	81	1010679	ADHESIVE, ACTIVTOR
8	80	MS35649-24	NUT, HEX, PLAIN
AR	79	1010683	CURING AGENT, AMINE
AR	78	1010682	EPOXY RESIN
	77		
2	76	NAS1081CO4D3L	SCREW, SET SELF LOCKING
1	75	2014655	WHEEL, CONTROL
2	74	1008943-006 OR 1008944-006	LAMP, ELECTROLUMINESCENT
4	73	1010630-4	SCREW, FLAT HD, HEX SOC.
8	72	1010618-7	SCREW, BUTTON HD, HEX SOC.
AR	71	1010657	EPOXY RESIN
AR	70	1010686	CATALYST
7	69	2014706	RETAINER, LAMP
1	68	2021340	GUARD, THUMBWHEEL
6	67	1001489-4	SCREW, SOC HD CAP
AR	66	QQ-W-343 TYPE S	WIRE, ELECT., 24 AWG
4	65	1010617-2	NUT, HEX, SELF-LOCKING
7	64	1001489-6	SCREW, SOC HD CAP
3	63	1010617-4	NUT, HEX, SELF-LOCKING
5	62	MS15795-803	WASHER, FLAT
1	61	1006783-18	SCREW, BUTTON HD, HEX SOC.
4	60	1006783-21	SCREW, BUTTON HD, HEX SOC.
4	59	NAS1352CO2-4	SCREW, SOC HD CAP
2	58	NAS1352CO2LL3	SCREW, SOC HD CAP, SELF LOCKING
1	57	2021201	PLATE, SWITCH BLOCKOUT
1	56	2021200	BUSHING, SWITCH BLOCKOUT
1	55	2021334	PANEL, LAMP RETAINER (MAJ MODE)
1	54	2021324	PANEL, LAMP RETAINER (OPTICS)
1	53	2021320	PANEL, LAMP RETAINER (UP TEL)
1	52	2021308	PANEL, LAMP RETAINER (M-M REJ)
1	51	2021335	PANEL, LAMP RETAINER (VERB-NOUN)
1	50	1008943-010 OR 1008944-010	LAMP, ELECTROLUMINESCENT
1	49	1008943-007 OR 1008944-007	LAMP, ELECTROLUMINESCENT
1	48	1008943-005 OR 1008944-005	LAMP, ELECTROLUMINESCENT
1	47	1008943-003 OR 1008944-003	LAMP, ELECTROLUMINESCENT
2	46	2021337	RETAINER, LIGHT
8	45	1010477-12	SCREW, FLAT HD SELF LOCKING
1	44	1004260-569	NAME PLATE
	43		
4	42	1010477-13	SCREW, FLAT HD SELF LOCKING
4	41	1010676-1	TERMINAL
26	40	1010623-3	TERMINAL, TURRET
5	39	1001489-2	SCREW, SOCKET HD CAP
35	38	MS24693-C3	SCREW, FLAT HEAD, CROSS RECESS
42	37	NAS1635-02-3	SCREW, PAN HD, CROSS RECESS
2	36	2014764-011	HANDLE ASSEMBLY
1	35	2014656-041	RETICLE BRIGHTNESS CONTROL
15	34	1011918-1	WASHER – CABLE CLAMP
1	33	2021321	HARNESS
1	32	1010625-2	LIGHT, INDICATOR
1	31	2021327	CAP, PUSHBUTTON
AR	30	1012504-2	PRIMER, METAL
AR	29	1012504-1	PRIMER, METAL
15	28	1000220-1 THRU -19	CLAMP, CABLE
AR	27	1012503-1	COMPOUND, POLYURETHANE
AR	26	1012503-2	COMPOUND, POLYURETHANE
1	25	2021328	CAP, PUSHBUTTON
AR	24	QQ-S-571 SN60 WRAP2	SOLDER
AR	23	MIL-F-14256	FLUX
1	22	2021349	PANEL G&N IND CONT (INSEPARABLE)
1	21	2014627	SUPPORT, HAND CONTROLLER
X	REF	2014507	SCHEMATIC DIAGRAM
1	19	2014658	SUPPORT, SWITCH
1	18	1010268-5	LAMP, INCANDESCENT
1	17	1010942	TRANSFORMER
1	16	2014700-011	SWITCH, ATTITUDE IMPULSE
1	15	1010905-5	SWITCH, TOGGLE
1	14	1010905-3	SWITCH, TOGGLE
1	13	1010904-2	SWITCH, PUSH BUTTON
1	12	1010904-1	SWITCH, PUSH BUTTON
1	11	1010903-9	SWITCH, TOGGLE
1	10	1010903-8	SWITCH, TOGGLE
1	9	1010902-6	SWITCH, TOGGLE
1	8	1010902-5	SWITCH, TOGGLE
1	7	1010902-4	SWITCH, TOGGLE
7	6	1008943-004 OR 1008944-004	LAMP, ELECTROLUMINESCENT
1	5	1008943-008 OR 1008944-008	LAMP, ELECTROLUMINESCENT
1	4	1008943-001 OR 1008944-001	LAMP, ELECTROLUMINESCENT
1	3	1008824-1	MASTER ALARM ANNUNCIATOR
1	2	1010949	CONDITION ANNUNCIATOR
1	1	2014550-011	SEXTANT HAND CONTROLLER
			
			PROOFED
