-11	DRAWING	TITLE	FIND	STRIKE
X	2010016	SCHEMATIC	REF	
				
2	1010289-37	CAPACITOR	26	
2	SEE NOTE 15	CAPACITOR	25	
2	1010262-8	RESISTOR	24	
2	1010373-8	RESISTOR	23	
			22	
1	SEE NOTE 15	RESISTOR	21	
1	SEE NOTE 15	RESISTOR	20	
1	SEE NOTE 15	RESISTOR	19	
1	1010283-18	RESISTOR	18	
1	1010923-12	RESISTOR	17	
2	SEE NOTE 15	RESISTOR	16	
2	1010250-2	RESISTOR	15	
1	1008540-13	GASKET	14	
AR	1006757-21	WIRE, ELEC, .032 DIA	13	
AR	1006757-1	WIRE, ELEC, .010 X .020	12	
AR	1010848-2	WIRE, ELEC, .020 DIA	11	
			10	
AR	1006776-21	INSULATION SLEEVING	9	
AR	1006776-20	INSULATION SLEEVING	8	
1	2008093	TERMINAL, THREADED	7	
4	1010618-3	SCREW, BUTTON HEAD	6	
13	1006782-5	CONTACT, WRAPOST – MALE MINAT	5	
13	1006775	INSULATOR, WRAPOST – MALE MINAT	4	
			3	
1	2008003	INSULATOR, TOP	2	
1	2008099	HEATSINK	1	
				
X	X	PROOFED	REF	X
