-11	DRAWING	TITLE	FIND	STRIKE
X	2010025	SCHEMATIC	REF	
				
				
				
				
				
AR	1010848-2	WIRE, ELECTRICAL	20	
12	1010392-1	DIODE	19	
6	1010353-7	RELAY	18	
6	1010837-3	DIODE	17	
1	2008093-001	TERMINAL, THREADED	16	
1	1008540-11	GASKET, CONNECTOR, MINIATURE	15	
3	1008540-10	GASKET, CONNECTOR, MINIATURE	14	
2	1008540-5	GASKET, CONNECTOR, MINIATURE	13	
AR	1006776-21	INSULATION SLEEVING	12	
AR	1006776-20	INSULATION SLEEVING	11	
AR	1006757-1	WIRE .010 X .020	10	
			9	
			8	
6	1010485-42	SCREW-NYLON FILLISTER HEAD	7	
3	1015135-015	SPACER, NYLON	6	
51	1006782-4	CONTACT, WRAPOST – MALE, MIN	5	
51	1006775	INSULATOR, WRAPOST – MALE, MIN	4	
1	2008198	WIRING BOARD BOTTOM	3	
1	2008204	WIRING BOARD TOP	2	
1	2008196	FRAME	1	
				
X	X	PROOFED	REF	X
