-11	DRAWING	TITLE	FIND
X	2010001	SCHEMATIC	REF
			
			
			
1	1010264-41	CAPACITOR	17
1	1010264-40	CAPACITOR	16
2	1010264-38	CAPACITOR	15
AR	1006776-21	INSULATION, SLEEVING, ELECTRICAL	14
AR	10067776-20	INSULATION, SLEEVING, ELECTRICAL	13
AR	1006757-1	WIRE, ELECTRICAL	12
2	108161-2	SCREW, CAP SLOTTED HEAD, SPECIAL	11
2	1010485-42	SCREW, NYLON FILLISTER HEAD	10
2	1015135-021	SPACER, NYLON	9
1	2008093-000	TERMINAL, THREADED	8
1	1008540-4	GASKET – CONNECTOR, MINIATURE	7
1	1008540-3	GASKET – CONNECTOR, MINIATURE	6
7	1006782-5	CONTACT, WRAPOST – MALE, MINIATURE	5
7	1006775	INSULATOR, WRAPOST – MALE, MINIATURE	4
1	2008260	WIRING BOARD, BOTTOM	3
1	2008253	WIRING BOARD, TOP	2
1	2008235	FRAME	1
