0	DRAWING	TITLE	FIND
AR	1006776-21	INSULATION SLEEVING NO. 22	16
AR	1006787-2	WIRE, FEED THRU	15
2	1010329-1	TRANSFORMER	14
2	1010291-3	TRANSFORMER	13
4	1010372-21	DIODE	12
8	1010392-1	DIODE	11
6	1006750-63	RESISTOR	10
AR	1006757-1	.010 X .020 NICKEL RIBBON	9
4	1010461	TRANSFORMER SHIELD	8
1	1015147	WAFER BOARD, LOWER	7
2	1010485-98	#4-40 NC-38 FIL HD SCREW	6
1	1015146	WAFER BOARD, UPPER	5
AR	1006776-20	INSULATION SLEEVING	4
20	1006775	INSULATOR, WRAPOST – MALE, MINIATURE	3
20	1006782-5	CONTACT, WRAPOST – MALE MINIATURE	2
1	1015107	FRAME – MODULE	1
			
		PROOFED	
