FIND	0	DRAWING	TITLE	STRIKE
16	AR	1012543-003	ENAMEL	X
15	AR	1008898	ADHESIVE, EPOXY	
14	AR	1010661	RESIN, ADHESIVE	
13	AR	1010679	ACTIVATOR, ADHESIVE	
12	AR	1010864	PREPOLYMER, POLYURETHANE	
11	AR	1010863	RESIN, POLYURETHANE	
10				
9	AR	1006338	ADHESIVE, SILICONE RUBBER	
8	3	1021313	BRACKET, ANGLE HINGE	
7	1	2021212	SEAL, PLASTIC	
6	1	2021211	LINER, COVER	
5	1	2021207	COVER, CASE	
4	1	2010787-004	PAD, CUSHION	
3	1	2010787-003	PAD, CUSHION	
2	1	2010787-002	PAD, CUSHION	
1	1	2010787-001	PAD, CUSHION	
				
			PROOFED	
