-011	FIND	DRAWING	TITLE	STRIKE
1	31	1008552	GASKET	
1	30	1008551	GASKET	
1	29	1021204-007	CONTACT	
1	28	1021205-001	RECEPTACLE, DS TYPE	
AR	27	MIL-I-15126 TYPE MFT 2.5 0.38 WIDE	MYLAR TAPE	
1	26	1021231	WIRING HARNESS E	
X	REF	1008450	WIRING DIAGRAM	
1	24	1015741	WIRE LIST A-A	
1	23	1015740	WIRING HARNESS D	
1	22	1015739	WIRING HARNESS C	
1	21	1015738	WIRING HARNESS B	
1	20	1015737	WIRING HARNESS A	
1	19	1007088	BUFFER RESISTOR ASSY	
2	18	MS21045C04	NUT, SELF-LOCKING HEX	
2	17	MS16995-11	SCREW, CAP, SOCKET HEAD	
3	16	MS16995-10	SCREW, CAP, SOCKET HEAD	
30	15	MS171433	PIN, SPRING	X
30	14	1004207	DRIVE CYLINDER	X
1	13	1008099-2	WASHER	
60	12	1004206	WASHER, THRUST	X
1	11	1008098	SCREW, SOCKET HEAD	
30	10	1008095	SCREW, JACK	X
1	9	1001317	RETAINER, JACK SCREW	
2	8	1010620-2	PIN, GUIDE	
20	7	MS16556-604	PIN, GUIDE	
1	6	1010622-1	CONNECTOR, RECEPTACLE	
84	5	1010383-1	INSULATOR, WRAPOST, MALE	
84	4	1010382-1	CONTACT, BLADE EDGE CONNECTOR	
149	3	1006781-2	CONTACT WRAPOST, FEMALE MIN	
149	2	1006774	INSULATOR, WRAPOST FEMALE MIN	
1	1	1008101	FRAME	
				
			PROOFED	
