0	DRAWING	TITLE	FIND
X	1010108	SCHEMATIC	REF
			
AR	1006776-22	INSULATION, SLEEVING, ELECTRICAL	15
AR	1006757-1	WIRE ELECTRICAL	14
4	1010362-001	SEMICONDUCTOR, DEVICE, DIODE	13
1	1010372-20	SEMICONDUCTOR, DEVICE, DIODE	12
9	1006750-67	RESISTOR – FIXED	11
9	-49	RESISTOR – FIXED	10
1	-45	RESISTOR – FIXED	9
1	1010637-1	CAPACITOR – FIXED	8
1	1010779-18	CONNECTOR, RECEPTACLE, ELEC	7
2	1010618-4	SCREW, BUTTON HD	6
4	1008161-2	SCREW, CAP SLOTTED HD	5
2	1015135-015	SPACER, NYLON	4
1	1008203	WAFER BOARD, TOP	3
1	1008204	WAFER BOARD, BOTTOM	2
1	1008206	FRAME	1
			
		PROOFED	
