FIND	0	DRAWING	TITLE
18	12	1010770-1	CONTACT, CRIMP TYPE #22
17	1	NAS1352CO6LL4	SCREW, CAP, HEX SOC HD. SELF LOCKING
16	AR	1006776-22	INSULATION SLEEVING, ELECTRICAL
15	1	1010416-11	WIRE, ELECTRICAL, STRANDED, INSULATED
14	1	-12	WIRE, ELECTRICAL, STRANDED, INSULATED
13	1	-13	WIRE, ELECTRICAL, STRANDED, INSULATED
12	1	-14	WIRE, ELECTRICAL, STRANDED, INSULATED
11	3	MS35649-24	NUT, PLAIN, HEXAGON
10	3	NAS1352CO2-6	SCREW, CAP, HEX SOC HD. SELF LOCKING
9	4	AN520C1-8	SCREW, MACHINE, ROUND HEAD
8	3	MS15795-802	WASHER, FLAT
7	1	1010808-001	RECEPTACLE, CONNECTOR, ELECTRICAL
6	1	1010651	TRANSFORMER, SEXTANT RESOLVER ALIGNMENT
5	2	1010373-17	RESISTOR, VARIABLE, TRIMMER
4	1	2011939	BRACKET,, TRANSFORMER RETAINING
3	1	2011937	INSULATION, ELECTRICAL
2	1	2011938	TERMINAL BOARD, ASSY OF
1	1	2011942	BRACKET AND NUT, ASSY OF
			
			PROOFED
