0	DRAWING	TITLE	FIND
X	1010057	SCHEMATIC	REF
3	1015135-021	SPACER	19
6	1008161-2	SCREW CAP SPECIAL	18
AR	1006776-22	INSULATION SLEEVING	17
AR	1006757-8	WIRE, ELEC.	16
AR	1006776-21	INSULATION SLEEVING	15
AR	1006757-1	WIRE, ELEC.	14
3	1010451-1	TRANSFORMER	13
1	1010316-94	CAPACITOR	12
1	-82	CAPACITOR	11
1	1010364-444	RESISTOR	10
1	-316	RESISTOR	9
1	-448	RESISTOR	8
1	-328	RESISTOR	7
1	-460	RESISTOR	6
1	-328	RESISTOR	5
1	-452	RESISTOR	4
1	-366	RESISTOR	3
1	1008134	WIRING BOARD BOTTOM	2
1	1008133	WIRING BOARD TOP	1
			
		PROOFED	
