-011	FIND	DRAWING	TITLE
X	REF	1014623	SCHEMATIC
13	20	1023025	PLATE, PROTECTION
11	19	1021706	PLATE, ELECTRICAL SHIELD
1	18	1015030	INSULATOR, PLATE, BOTTOM
1	17	1015029	INSULATOR, PLATE, TOP
AR	16	1006776-21	INSULATION, SLEEVING, ELEC
AR	15	1006787-2	WIRE, ELECTRICAL
AR	14	1006757-1	WIRE, ELECTRICAL
4	13	MS35338-78	WASHER, LOCK
4	12	MS15795-303	WASHER, FLAT
4	11	1008069-2	SCREW, SOC HD EXT RELIEVED BODY
11	10	1010392-1	DIODE
14	9	1010837-003	DIODE
1	8	1006772-3	RELAY
12	7	1010353-4	RELAY
1	6	1010615-2	CONNECTOR ELEC, RECEPTACLE
4	5	1015061	SPACER, INSULATED
1	4	1015070	WIRING BOARD, BOTTOM
1	3	1015062-2	WIRING BOARD, TOP
1	2	-1	WIRING BOARD, TOP
1	1	1015060	HOUSING
			
			PROOFED
