-011	DRAWING	TITLE	FIND
X	2010079	SCHEMATIC	REF
			
1	1006777-27	CAPACITOR	26
1	2007048	CONTACT, ELECTRICAL, PIN	25
1	2007052	CONTACT, ELECTRICAL, PIN	24
1	2007041	CONTACT, ELECTRICAL, PIN	23
2	2007039	CONTACT, ELECTRICAL, PIN	22
3	1010397-1	TRANSISTOR	21
1	1012048	TRANSISTOR	20
1	1012502-001	CAPACITOR	19
2	1006755-69	CAPACITOR	18
1	1006777-28	CAPACITOR	17
1	1010364-488	RESISTOR	16
1	-484	RESISTOR	15
1	-304	RESISTOR	14
1	1006750-78	RESISTOR	13
1	-53	RESISTOR	12
1	-41	RESISTOR	11
1	-39	RESISTOR	10
1	-25	RESISTOR	9
1	1010768-58	RESISTOR	8
AR	1006776-22	INSULATION SLEEVING	7
AR	-21	INSULATION SLEEVING	6
AR	1006757-8	WIRE, ELECTRICAL, .020 DIA	5
AR	-1	WIRE, ELECTRICAL, .010 X .020	4
1	2008221	BUSHING, THREADED	3
1	2008250	INSULATOR, BOTTOM	2
1	2008251	INSULATOR, TOP	1
			
		PROOFED	
