-011	FIND	DRAWING	TITLE
X	REF	1021739	SCHEMATIC
			
2	15	1023025	PLATE, PROTECTION
1	14	1015098	HOUSING
2	13	MS35338-78	WASHER – LOCK
2	12	MS15795-303	WASHER – FLAT
2	11	1008069-1	SCREW – SOCKET HEAD
AR	10	1006757-1	WIRE, ELECTRICAL
AR	9	1006776-21	INSULATION – SLEEVING
1	8	1015032	INSULATOR – PLATE
2	7	1010362-3	SEMICONDUCTOR
4	6	1010392-1	SEMICONDUCTOR
1	5	1010472-2	CONNECTOR – RECEPTACLE
2	4	1010784-3	RELAY – ARMATURE
3	3	1021701	INSULATOR – ROD
1	2	1021702	WIRING BOARD
1	1	1015042	PLATE – BASE
			
			PROOFED
