FIND	0	DRAWING	TITLE
1	5 FT	1010789-006	WIRE, 22 AWG, YEL
2	5 FT	1010789-001	WIRE, 24 AWG, YEL
3	5 FT	1010789-016	WIRE, 26 AWG, YEL
4	15 FT	1010789-003	WIRE, 24 AWG, YEL, RED
6	20 FT	1010789-018	WIRE, 26 AWG, YEL, RED, GRN
7	5 FT	1010789-005	WIRE, 24 AWG, YEL, RED, GRN, BRN
8	40 FT	1010789-015	WIRE, 26 AWG, YEL, RED, YEL JKT
9	10 FT	1010789-013	WIRE, 24 AWG, YEL, RED, GRN, YEL JKT
10	15 FT	1010789-002	WIRE, 24 AWG, BLK
11	5 FT	1010789-012	WIRE, 24 AWG, YEL, RED, YEL JKT
12	1	2014745-031	CONNECTOR, PLUG, ELECTRICAL (P26)
13	1	1010929-004	CONNECTOR, PLUG, ELECTRICAL (P24)
REF	X	1010770-2	CONTACT, SOCKET, SUPPLIED WITH CONNECTOR 1010929
15	44	1010955-1	CONTACT, MALE
16	32	1010955-2	CONTACT, MALE
18	25	1010958-1	PLUG, PROTECTIVE, SEALING
19	19	1010402-2	SLEEVE, SOLDER
20	17	1012534-36	INSULATION, SLEEVING (HEAT SHRINKABLE)
23	AR	1012504	PRIMER, METAL PARTS
24	AR	1012503	COMPOUND, POTTING, POLYURETHANE
25	AR	1010679	ADHESIVE, ACTIVATOR
26	AR	1010661	EPOXY RESIN
27	1	2014670-4	ADAPTER, CONNECTOR
29	AR	1008960-002	TAPE, TEFLON, 1 INCH WIDE
30	0	MIL-T-23594	DELETED
31	1 FT	1010789-024	WIRE, 26 AWG, BLK
32	76	1010490-114	INSULATION, SLEEVING (HEAT SHRINKABLE)
34	AR	1008936-001	TAPE, LACING
35	AR	1008937-001	TAPE, ALUMINUM FOIL
36	AR	1008937-002	TAPE, ALUMINUM FOIL
37	AR	1008937-003	TAPE, ALUMINUM FOIL
38	1	1008940-001	BANK, MARKER
39	AR	1008937-007	TAPE, ALUMINUM FOIL
40	AR	1010748	RESIN, EPOXY
41	AR	1010750	CURING AGENT, POLYAMIDE
			
			PROOFED
