FIND	0	DRAWING	TITLE	STRIKE
1	5 FT	1010789-006	WIRE 22 AWG, YEL	
2	265 FT	1010789-016	WIRE, 26 AWG YEL	
3	5 FT	1010789-008	WIRE, 22 AWG, YEL, RED	
4	5 FT	1010789-003	WIRE, 24 AWG, YEL, RED	
5	75 FT	1010789-017	WIRE, 26 AWG, YEL, RED	
6	5 FT	1010789-009	WIRE, 22 AWG, YEL, RED, GRN	
7	5 FT	1010789-004	WIRE, 24 AWG, YEL, RED, GRN	
8	5 FT	1010789-018	WIRE, 26 AWG, YEL, RED, GRN	
9	5 FT	1010789-019	WIRE, 26 AWG, YEL, RED, GRN, BRN	
10	88 FT	1010789-015	WIRE, 26 AWG, YEL, RED, YEL JKT	
11	15 FT	1010789-002	WIRE, 24 AWG, BLK	
12	1	2014747-031	CONNECTOR, PLUG, ELECTRICAL (56P29)	
13	1	1010929-002	CONNECTOR, PLUG, ELECTRICAL (56P20)	
14	1	1010929-008	CONNECTOR, PLUG, ELECTRICAL (56P21)	
15	1	1010929-101	CONNECTOR, PLUG, ELECTRICAL (56P22)	
16	1	1010929-001	CONNECTOR, PLUG, ELECTRICAL (56P32)	
REF	X	1010770-1	CONTACT, PIN, SUPPLIED WITH CONNECTOR 1010929	
REF	X	1010770-2	CONTACT, SOCKET, SUPPLIED WITH CONNECTORS 1010929 AND 1010930	
19	3	1010930-017	CONNECTOR, RECEPTACLE, ELECTRICAL (56J6, 56J7, AND F6J8)	
20	31	1010955-1	CONTACT, MALE	
21	75	1010955-2	CONTACT, MALE	
22	2	2014670-4	ADAPTER, CONNECTOR	
23	1	2014670-5	ADAPTER, CONNECTOR	
24	91	1010958-1	PLUG, PROTECTIVE SEALING	
25	19	1010402-2	SLEEVE, SOLDER	
27	AR	1008960-002	TAPE, TEFLON, 1 INCH WIDE	
28	AR	MIL-T-23594	TAPE, TEFLON, TYPE II, 1/4 INCH WIDE	X
29	AR	1012503	COMPOUND, POTTING, POLYURETHANE	
30	AR	1012504	PRIMER, METAL PARTS	
33	AR	1010661	EPOXY RESIN	
34	AR	1010679	ADHESIVE, ACTIVATOR	
35	3	2014670-010	ADAPTER, CONNECTOR	
36	19	1012534-36	SLEEVING, INSULATION (HEAT SHRINKABLE)	
37	1	2021203	TERMINAL LUG, SOLDER	
39	AR	1010989	TAPE, SHIELDING, EMI/RFI	
40	1	1006783-93	SCREW, BUTTON HD	
41	1	MS35333-69	WASHER, LOCK	
43	1	2014670-11	ADAPTER, CONNECTOR	
44	15 FT	1010707-1	WIRE, RED JKT, 29 AWG, RED, WHT, BLU	
45	6	1010862	BUSHING, SLEEVE	
46	6	1010763-2	SOLDER, SLEEVE	
47	16 FT	1010789-12	WIRE, 24 AWG, YEL, RED, YEL JKT	
48	AR	QQ-S-571 SN60WRAP	SOLDER	
49	AR	QQ-S-571 SN60WS	SOLDER	
50	AR	MIL-F-14256 TYPE A OR W	FLUX	
51	105	1010490-114	INSULATION, SLEEVING (HEAT SHRINKABLE)	
52	AR	1008822	COLORANT, EPOXY BASE	
53	AR	1006277	SILICA, PULVERIZED PYROGENIC	
54	2	1010811-002	BAND, CABLE	
56	AR	1008936-001	TAPE, LACING AND TYING	
57	AR	1008937-001	TAPE, ALUMINUM FOIL	
58	AR	1008937-002	TAPE, ALUMINUM FOIL	
59	AR	1008937-003	TAPE, ALUMINUM FOIL	
60	3	1008940-001	BAND, MARKER	
61	1	1008940-002	BAND, MARKER	
62	3	1008940-003	BAND, MARKER	
63	AR	1008937-007	TAPE, ALUMINUM FOIL	
64	AR	1008937-005	TAPE, ALUMINUM FOIL	
65	AR	1010748	RESIN, EPOXY	
66	AR	1010750	CURING AGENT, POLYAMIDE	
67	AR	1008936-003	TAPE, LACING AND TYING	
				
			PROOFED	
