-011	FIND	DRAWING	TITLE	STRIKE
1	27	1008552	GASKET	
1	26	1008551	GASKET	
1	25	1021205-006	RECEPTACLE DS TYPE	
X	REF	1008451	WIRING DIAGRAM	
AR	23	MIL-I-15126 F TYPE MFT 2.5 0.38 WIDE	MYLAR TAPE	
1	22	1021238	WIRING HARNESS B	
1	21	1015773	WIRE LIST “AA”	
1	20	1015772	WIRING HARNESS “A”	
1	19	1007091	BUFFER RESISTOR ASSY	
2	18	1010620-2	PIN GUIDE	
3	17	MS16995-10	SCREW, CAP SOCKET HD	
1	16	1008099-2	WASHER	
1	15	1008098	SCREW, SOCKET HD	
1	14	1001317	RETAINER, JACK SCREW	
52	13	1004206	WASHER, THRUST	X
26	12	MS171433	PIN SPRING	X
26	11	1004207	DRIVE, CYLINDER	X
26	10	1008095	SCREW, JACK	X
2	9	MS21045CO4	NUT SELF-LOCKING HEX	
2	8	MS16995-11	SCREW, CAP SOCKET HD	
1	7	1010622-1	CONNECTOR RECEPTACLE	
16	6	MS16556-604	PIN GUIDE	
84	5	1010383-1	INSULATOR WRAPOST MALE	
84	4	1010382-1	CONTACT, BLADE EDGE CONN	
129	3	1006781-2	CONTACT WRAPOST, FEMALE MIN	
129	2	1006774	INSULATOR, WRAPOST FEMALE MIN	
1	1	1021232	FRAME	
				
			PROOFED	
