-11	FIND	DRAWING	TITLE
X	REF	1015112	SCHEMATIC DIAGRAM ELECTRICAL
1	24	1008540-6	GASKET CONNECTOR MINAT
2	23	1008540-11	GASKET CONNECTOR MINAT
2	22	1010374-20	RESISTOR – FIXED
4	21	1010364-739	RESISTOR – FIXED
AR	20	1006757-1	WIRE, NICKEL RIBBON .010 X .020
AR	19	1006776-21	SLEEVING, ELECT. INSULATING
AR	18	1006776-20	SLEEVING, ELECT. INSULATING
AR	17	1006787-2	WIRE, FEED THROUGH #24 AWG
28	16	1006775	INSULATOR, WRAPOST – MALE MINAT
28	15	1006782-5	CONTACT, BLADE EDGE CONNECTOR
1	14	1010372-18	SEMICONDUCTOR DEVICE, DIODE
4	13	1010397-1	TRANSISTOR
1	12	1006755-79	CAPACITOR, FIXED
4	11	1006755-65	CAPACITOR, FIXED
1	10	1006760-50	RESISTOR – FIXED
4	9	1006750-67	RESISTOR – FIXED
8	8	1010364-769	RESISTOR – FIXED
2	7	1010364-673	RESISTOR – FIXED
4	6	1010364-687	RESISTOR – FIXED
4	5	MS35216-3	SCREW, ¼ #2-56 NC
1	4	1015132	WAFER BOARD, LOWER
1	3	1015133	WAFER BOARD, UPPER
3	2	1015118	SHIELD
1	1	1015115	FRAME, MODULE
			
			PROOFED
