-11	DRAWING	TITLE	FIND	STRIKE
AR	1012507-003	TAPE, LACING	29	
14	MS35223-15	SCREW, PAN HEAD	28	
2	MS35233-18	SCREW, PAN HEAD	27	
16	MS35337-78	WASHER, LOCK	26	
16	NAS671C4	NUT, HEX, PLAIN	25	
8	MS15795-803	WASHER, FLAT	24	
2	MS35216-13	SCREW, PAN HEAD	23	
1	1004630	BRACKET, CABLE SUPPORT	22	
1	1004582	PLATE, CABLE SUPPORT	21	
1	1004817	BRACKET, E/L FRAME	20	
1	1004818	BRACKET, CONN PLATE	19	
5	1004546-1	WASHER, FLAT	18	
5	1004546-3	WASHER, FLAT	17	
5	1004579-1	SCREW, JACKING	16	
5	MS16633-4015	RING, RETAINING	15	
18	NAS620C4	WASHER, FLAT	14	
6	MS35233-13	SCREW, PAN HEAD	13	
6	1004801	BRACKET, TERMINAL BOARD	12	
1	1003804	INDICATOR E/L ASSY (ALARM II)	11	
1	1003801	INDICATOR E/L ASSY (PROGRAM)	10	
1	1003802	INDICATOR E/L ASSY (VERB-NOUN)	9	
3	1003803	INDICATOR E/L ASSY (REGISTER	8	
1	1003760	TERMINAL BOARD ASSY (TB2)	7	
1	1003759	TERMINAL BOARD ASSY (TB1)	6	
1	1003826-011	WIRING HARNESS, CABLE B	5	
1	1003825-011	WIRING HARNESS, CABLE A	4	
1	1004802	FRAME, E/L	3	
1	1003547-011	CONN PL, WIRE WRAP ASSY (DECODING)	2	
1	1003810-011	CONN PL, WIRE WRAP ASSY (RELAY)	1	
				
X	X	PROOFED	REF	X
