-11	DRAWING	TITLE	FIND
X	2010026	SCHEMATIC	REF
			
			
			
AR	1010848-2	WIRE, ELECTRICAL	23
4	1010353-7	RELAY	22
4	1010345-1	TRANSISTOR	21
4	1006755-79	CAPACITOR	20
4	1010837-3	DIODE	19
4	1006750-39	RESISTOR	18
4	1006750-63	RESISTOR	17
			16
AR	1006776-21	INSULATION SLEEVING ELECTRICAL	15
AR	1006776-20	INSULATION SLEEVING ELECTRICAL	14
			13
AR	1006757-1	WIRE, ELECTRICAL	12
2	1008161-3	SCREW, CAP SLOTTED HEAD	11
2	1008161-2	SCREW, CAP SLOTTED HEAD	10
2	1015135-015	SPACER NYLON	9
3	1008540-9	GASKET	8
1	1008540-8	GASKET	7
1	2008093-000	TERMINAL, THREADED	6
35	1006775	INSULATOR WRAPOST MALE, MINIATURE	5
35	1006782-4	CONTACT WRAPOST MALE, MINIATURE	4
1	2008270	WIRING BOARD BOTTOM	3
1	2008268	WIRING BOARD TOP	2
1	2008195	FRAME	1
