-021	-011	-000	FIND	DRAWING	TITLE	STRIKE
X			REF	ATP1018900 TYPE 2	TEST PROCEDURE	
X	X		REF	PS1018900 TYPE 2	PROCESS SPECIFICATION	
	X	X	REF	ATP1018900 TYPE 1	TEST PROCEDURE	
		X	REF	PS1018900 TYPE 1	PROCESS SPECIFICATION	
1			27	1018911-011	PRINTED CIRCUIT BOARD ASSY	
1			26	1010604-48	RESISTOR	
X	X	X	REF	1018912	SCHEMATIC	
X	X	X	REF	1018902	WIRING ASSEMBLY	
AR	AR	AR	23	1006711-13	WIRE	
2	2	2	22	1006755-29	CAPACITOR	
1	1	1	21	1010604 SEE DRAWING NOTES 20 & 23	RESISTOR	
1	1	1	20	1010694 SEE DRAWING NOTE 21	RESISTOR	
	1	1	19	1010694 SEE DRAWING NOTE 20	RESISTOR	
1	1	1	18	1010434-3	RESISTOR, THERMAL	
AR	AR	AR	17	SEE DRAWING NOTE 15	GRAY FIBER SHEET	
1	1	1	16	1010694 SEE DRAWING NOTE 12	RESISTOR	
1	1	1	15	1010694 SEE DRAWING NOTE 11	RESISTOR	
1	1	1	14	1010694 SEE DRAWING NOTE 13	RESISTOR	
1	1	1	13	1010694 SEE DRAWING NOTE 10	RESISTOR	
1	1	1	12	1010694 SEE DRAWING NOTE 2	RESISTOR	
1	1	1	11	1010694 SEE DRAWING NOTE 2	RESISTOR	
	1	1	10	1010693 SEE DRAWING NOTE 18	RESISTOR	
1	1	1	9	1010694 SEE DRAWING NOTE 14	RESISTOR	
8	8	8	8	1010497	DIODE	
1	1	1	7	1010604 SEE DRAWING NOTE 22	RESISTOR	X
			6			
1	1	1	5	1018901	TRANSFORMER REACTOR ASSY	
	1	1	4	1018911-000	PRINTED CIRCUIT BOARD ASSY	
1	1	1	3	1018907	CASE ASSY	
1	1	1	2	1018908	COVER ASSY	
1	1	1	1	1001543	PLATE, IDENTIFICATION	
						
					PROOFED	
