FIND	0	DRAWING	TITLE
17	6	1010490-060	INSULATION SLEEVING, ELECTRICAL, HEAT SHRINKABLE
16	AR	1006776-22	INSULATION SLEEVING, ELECTRICAL
15	1	1010416-11	WIRE, ELECTRICAL, STRANDED, INSULATED
14	1	-12	WIRE, ELECTRICAL, STRANDED, INSULATED
13	1	-13	WIRE, ELECTRICAL, STRANDED, INSULATED
12	1	-14	WIRE, ELECTRICAL, STRANDED, INSULATED
11	3	MS35649-24	NUT, PLAIN, HEXAGON
10	3	NAS1352CO2LL4	SCREW, CAP, HEX SOC HD, SELF LOCKING
9	4	AN520C1-8	SCREW, MACHINE, ROUND HEAD
8	3	MS15795-302	WASHER, FLAT
7	1	1000222	CONNECTOR, ELECTRICAL, PLUG, 9 CONTACTS
6	1	1010651	TRANSFORMER, POWER, STEP DOWN
5	2	1010360-22	RESISTOR, VARIABLE, TRIMMER
4	1	1011939	BRACKET, TRANSFORMER RETAINING
3	1	1011937	INSULATION, ELECTRICAL
2	1	1011938	TERMINAL BOARD, ASSY OF
1	1	1011942	BRACKET AND NUT, ASSY OF
			
			PROOFED
