-011	FIND	DRAWING	TITLE	STRIKE
1	27	1008552	GASKET	
1	26	1008551	GASKET	
2	25	1008256	PIN, POLARIZING	
1	24	1021205-006	RECEPTACLE, DS TYPE	
AR	23	MIL-I-15126 TYPE MFT 2.5, 0.38 WIDE	MYLAR TAPE	
1	22	1021234	WIRING HARNESS B	
X	REF	1008453	WIRING DIAGRAM	
1	20	1015742	WIRE LIST A-A	
1	19	1015736	WIRING HARNESS A	
2	18	MS21045CO4	NUT, SELF-LOCKING HEX	
2	17	MS16995-11	SCREW, CAP, SOCKET HEAD	
3	16	MS16995-10	SCREW, CAP, SOCKET HEAD	
36	15	MS171433	PIN, SPRING	X
36	14	1004207	DRIVE CYLINDER	X
1	13	1008099-2	WASHER	
72	12	1004206	WASHER, THRUST	X
1	11	1008098	SCREW, SOCKET HD	
36	10	1008095	SCREW, JACK	X
1	9	1001317	RETAINER, JACK SCREW	
2	8	1010620-2	PIN, GUIDE	
24	7	MS16556-604	PIN, GUIDE	
1	6	1010622-1	CONNECTOR, RECEPTACLE	
84	5	1010383-1	INSULATOR, WRAPOST, MALE	
84	4	1010382-1	CONTACT, BLADE EDGE CONNECTOR	
180	3	1006781-2	CONTACT, WRAPOST FEMALE MIN	
180	2	1006774	INSULATOR	
1	1	1008524	FRAME	
				
			PROOFED	
