-011	FIND	DRAWING	TITLE	STRIKE
1	32	1008553	GASKET	
1	31	1008552	GASKET	
1	30	1021204-007	CONTACT	
X	REF	1010231	WIRING DIAGRAM	
AR	28	MIL-I-15126 TYPE MFT 2.5 0.38 WIDE	MYLAR TAPE	
1	27	1021205-001	RECEPTACLE, DS TYPE	
1	26	1021209	WIRE HARNESS E	
1	25	1015759	WIRE LIST AA	
1	24	1015763	WIRING HARNESS D	
1	23	1015762	WIRING HARNESS C	
1	22	1015761	WIRING HARNESS B	
1	21	1015760	WIRING HARNESS A	
2	20	MS21045CO4	NUT, SELF LOCKING HEX	
2	19	MS16995-11	SCREW, CAP, SOCKET HEAD	
2	18	MS16995-10	SCREW, CAP, SOCKET HEAD	
21	17	MS171433	PIN, SPRING	X
21	16	1004207	DRIVE CYLINDER	X
1	15	1008099-2	WASHER	
42	14	1004206	WASHER, THRUST	X
1	13	1008098	SCREW, SOCKET HEAD	
21	12	1008095	SCREW, JACK	X
1	11	1001317	RETAINER, JACK SCREW	
2	10	1010620-2	PIN, GUIDE	
20	9	MS16556-604	PIN, GUIDE	
1	8	1010622-1	CONNECTOR, RECEPTACLE	
60	7	1010383-1	INSULATOR, WRAPOST MALE	
60	6	1010382-1	CONTACT, BLADE EDGE CONNECTOR	
45	5	1006782-2	CONTACT, WRAPOST MALE MIN	
45	4	1006775	INSULATOR, WRAPOST MALE MIN	
232	3	1006781-2	CONTACT, WRAPOST FEMALE MIN	
232	2	1006774	INSULATOR, WRAPOST FEMALE MIN	
1	1	1008179	FRAME	
				
			PROOFED	
