-11	DRAWING	TITLE	FIND	STRIKE
X	2010023	SCHEMATIC	REF	
				
AR	1010848-2	WIRE, ELECTRICAL	25	
4	1010759	TRANSFORMER	24	
6	1010363-501	RESISTOR	23	
2	1010353-7	RELAY	22	
4	1010372-21	DIODE	21	
16	1010392-1	DIODE	20	
1	1010837-3	DIODE	19	
1	1010264-22	CAPACITOR	18	
1	1010264-19	CAPACITOR	17	
1	1010264-28	CAPACITOR	16	
1	1010264-20	CAPACITOR	15	
3	1008540-10	GASKET	14	
1	2008093-000	TERMINAL, THREADED	13	
			12	
AR	1006776-21	INSULATION SLEEVING	11	
AR	1006776-20	INSULATION SLEEVING	10	
			9	
AR	1006757-1	WIRE, ELECTRICAL, .010 X .020	8	
6	1008161-2	SCREW, CAP SLOTTED HD, SPECIAL	7	
3	1015135-015	SPACER, INSULATED	6	
30	1006782-4	CONTACT, WRAPOST MALE, MINAT	5	
30	1006775	INSULATOR, WRAPOST, MALE, MINAT	4	
1	2008179	WIRING BOARD, BOTTOM	3	
1	2008177	WIRING BOARD, TOP	2	
1	2008174	FRAME	1	
				
X	X	PROOFED	REF	X
