0	FIND	DRAWING	TITLE	STRIKE
AR	31	1012543-003	ENAMEL (GREY)	X
1	30	2021244	BRACKET	
1	29	2021237	HOLDER, EYEPIECE	
2	28	2021234-005	PLATE, BACKUP	
2	27	2021234-002	PLATE, BACKUP	
5	26	2021234-001	PLATE, BACKUP	
3	25	2021235	PLATE, BACKUP	
AR	24	1008898	ADHESIVE, EPOXY	
AR	23	1010679	ACTIVATOR, ADHESIVE	
AR	22	1010864	PREPOLYMER, POLYURETHANE	
AR	21	1010863	RESIN, POLYURETHANE	
AR	20	1010661	RESIN, ADHESIVE	
4	19	1008871-002	SHIM, LAMINATED	
AR	18	1008871-001	SHIM, LAMINATED	
1	17	2021227	BRACKET, ANGLE (INSEP ASSY)	
1	16	1021259	SUPPORT, LEFT HAND (INSEP ASSY)	
1	15	1021258	SUPPORT, RIGHT HAND (INSEP ASSY)	
1	14	2021215	PLATE, BACKUP	X
40	13	MS24622-17	SCREW, TAPPING, PAN HEAD	
2	12	1021279	BRACKET, ANGLE (INSEP ASSY)	
2	11	1011288-1	PLUNGER, QUICK RELEASE	
1	10	1021277	HOLDER, FILTER	
2	9	2021214	PLATE, BACKUP	
2	8	2021213	BRACKET, ANGLE, LOWER RIGHT	
2	7	2021206	BRACKET, ANGLE (INSEP ASSY)	
4	6	MS21207C4-6	SCREW, TAPPING, FLAT HEAD	X
2	5	2021205	HOLDER, EYEPIECE, LOWER	X
2	4	2021202	HOLDER, EYEPIECE, UPPER	X
2	3	2021210	SEAL, PLASTIC	
1	2	2021209	LINER, CASE	
1	1	2021208	CASE, STORAGE.	
				
			PROOFED	
